number_of_missed_payments,number_of_bank_visits,score,income,use_online_streaming,number_of_bank_accounts,state,bad_customer
0.0,13.0,655.0,15945.0,0.0,2.0,Delhi,1.0
1.0,12.0,757.0,20592.0,0.0,3.0,Karnataka,0.0
,9.0,746.0,27000.0,0.0,,Maharashtra,0.0
0.0,4.0,715.0,21000.0,0.0,2.0,Rajasthan,0.0
24.0,9.0,741.0,,0.0,3.0,Maharashtra,0.0
0.0,,734.0,18111.0,0.0,1.0,Telangana,1.0
0.0,7.0,623.0,15996.0,0.0,2.0,Karnataka,0.0
4.0,,,13000.0,0.0,1.0,Karnataka,1.0
10.0,,684.0,20000.0,0.0,2.0,Telangana,0.0
13.0,25.0,729.0,23068.0,0.0,1.0,Uttar Pradesh,1.0
12.0,11.0,762.0,,0.0,3.0,Andhra Pradesh,0.0
2.0,17.0,707.0,21000.0,0.0,1.0,Karnataka,0.0
11.0,6.0,688.0,18107.0,0.0,4.0,Haryana,1.0
120.0,19.0,605.0,17000.0,1.0,8.0,Maharashtra,1.0
0.0,10.0,744.0,30000.0,0.0,2.0,Haryana,0.0
0.0,37.0,733.0,21169.0,0.0,5.0,Delhi,1.0
0.0,1.0,746.0,13573.0,0.0,1.0,Tamil Nadu,0.0
3.0,5.0,734.0,22000.0,1.0,1.0,Maharashtra,0.0
13.0,13.0,740.0,35000.0,0.0,2.0,Tamil Nadu,1.0
0.0,,715.0,13000.0,0.0,2.0,Karnataka,0.0
0.0,12.0,741.0,,0.0,4.0,Assam,0.0
0.0,,,15500.0,1.0,4.0,Gujarat,0.0
0.0,14.0,711.0,25000.0,1.0,6.0,Maharashtra,0.0
0.0,23.0,737.0,20000.0,0.0,2.0,Tamil Nadu,1.0
41.0,,687.0,,1.0,1.0,Kerala,1.0
1.0,1.0,743.0,28000.0,0.0,0.0,Uttar Pradesh,0.0
1.0,15.0,741.0,16000.0,0.0,3.0,Gujarat,1.0
0.0,,,23900.0,0.0,5.0,Maharashtra,0.0
0.0,,,9829.0,0.0,2.0,Telangana,1.0
4.0,11.0,705.0,20772.0,1.0,1.0,Tamil Nadu,1.0
0.0,9.0,744.0,25000.0,0.0,1.0,Tamil Nadu,0.0
16.0,13.0,734.0,15000.0,0.0,2.0,Tamil Nadu,0.0
9.0,9.0,774.0,16100.0,0.0,2.0,Maharashtra,1.0
0.0,,640.0,20200.0,0.0,1.0,Tamil Nadu,0.0
36.0,14.0,757.0,19000.0,0.0,0.0,Tamil Nadu,1.0
61.0,16.0,764.0,68092.0,0.0,4.0,West Bengal,1.0
23.0,18.0,729.0,23000.0,0.0,1.0,Delhi,0.0
0.0,12.0,731.0,100000.0,0.0,3.0,Karnataka,1.0
0.0,8.0,758.0,27000.0,1.0,1.0,Tamil Nadu,0.0
0.0,,,15750.0,0.0,1.0,Maharashtra,0.0
38.0,18.0,678.0,28000.0,0.0,3.0,Karnataka,1.0
0.0,1.0,713.0,12000.0,0.0,1.0,Maharashtra,0.0
20.0,,617.0,29000.0,0.0,2.0,Karnataka,1.0
22.0,90.0,727.0,20000.0,0.0,3.0,Uttar Pradesh,1.0
0.0,,,30000.0,0.0,2.0,Karnataka,0.0
50.0,7.0,747.0,,0.0,0.0,West Bengal,0.0
0.0,5.0,774.0,20777.0,0.0,2.0,Karnataka,0.0
,13.0,732.0,24000.0,0.0,,Karnataka,1.0
4.0,17.0,741.0,32000.0,0.0,2.0,Tamil Nadu,0.0
7.0,12.0,735.0,,0.0,3.0,Andhra Pradesh,1.0
1.0,17.0,730.0,16000.0,0.0,1.0,Tamil Nadu,0.0
0.0,,694.0,,0.0,1.0,Delhi,1.0
1.0,24.0,661.0,28000.0,0.0,1.0,Telangana,0.0
19.0,12.0,706.0,21961.0,0.0,3.0,West Bengal,1.0
10.0,4.0,734.0,24000.0,0.0,0.0,Maharashtra,1.0
8.0,20.0,744.0,14500.0,1.0,5.0,Maharashtra,1.0
0.0,4.0,748.0,30000.0,0.0,1.0,Tamil Nadu,1.0
1.0,16.0,673.0,15997.0,0.0,2.0,Maharashtra,0.0
0.0,55.0,769.0,30000.0,0.0,4.0,Delhi,1.0
0.0,4.0,721.0,35000.0,0.0,2.0,Maharashtra,0.0
0.0,18.0,715.0,15750.0,0.0,2.0,Tamil Nadu,0.0
0.0,,,13000.0,0.0,2.0,Tamil Nadu,0.0
2.0,,,22800.0,1.0,5.0,Maharashtra,1.0
0.0,4.0,700.0,22600.0,0.0,3.0,Tamil Nadu,0.0
0.0,8.0,720.0,18000.0,0.0,0.0,Telangana,0.0
0.0,21.0,676.0,35000.0,0.0,3.0,Maharashtra,0.0
0.0,23.0,719.0,30000.0,1.0,2.0,Karnataka,1.0
39.0,10.0,724.0,8000.0,1.0,5.0,Delhi,1.0
,,676.0,29000.0,0.0,,Tamil Nadu,1.0
94.0,,,18300.0,0.0,2.0,Karnataka,1.0
1.0,,,15000.0,0.0,5.0,Tamil Nadu,0.0
0.0,21.0,759.0,26000.0,0.0,0.0,Maharashtra,1.0
22.0,7.0,645.0,19400.0,1.0,3.0,Delhi,1.0
0.0,11.0,758.0,10005.0,0.0,7.0,Uttar Pradesh,0.0
0.0,,,27500.0,0.0,1.0,Gujarat,0.0
0.0,11.0,726.0,10000.0,0.0,2.0,Karnataka,1.0
0.0,5.0,727.0,16182.0,0.0,2.0,Maharashtra,0.0
1.0,,,20000.0,0.0,3.0,Telangana,1.0
15.0,,672.0,56000.0,0.0,4.0,Karnataka,1.0
4.0,,,,1.0,10.0,Telangana,0.0
0.0,5.0,705.0,10883.0,0.0,5.0,Karnataka,0.0
0.0,11.0,715.0,17000.0,0.0,4.0,Telangana,0.0
0.0,16.0,738.0,20677.0,0.0,2.0,Tamil Nadu,0.0
2.0,11.0,715.0,15000.0,0.0,2.0,Karnataka,0.0
0.0,26.0,675.0,20000.0,0.0,2.0,Telangana,0.0
47.0,13.0,67.0,15000.0,0.0,1.0,Tamil Nadu,1.0
0.0,4.0,715.0,8000.0,1.0,1.0,Maharashtra,0.0
0.0,25.0,676.0,,0.0,6.0,Maharashtra,0.0
49.0,9.0,665.0,17995.0,1.0,2.0,Maharashtra,0.0
0.0,,,10000.0,0.0,1.0,Assam,0.0
1.0,20.0,694.0,23000.0,0.0,1.0,Karnataka,0.0
,12.0,711.0,21400.0,0.0,,Karnataka,0.0
1.0,,,14200.0,0.0,1.0,Karnataka,0.0
10.0,14.0,757.0,12000.0,0.0,2.0,Tamil Nadu,0.0
0.0,34.0,743.0,,0.0,2.0,Gujarat,1.0
0.0,10.0,639.0,13000.0,0.0,1.0,Karnataka,0.0
1.0,,756.0,,0.0,2.0,Gujarat,0.0
3.0,,,19433.0,0.0,2.0,Karnataka,1.0
0.0,17.0,747.0,19000.0,0.0,2.0,Telangana,0.0
4.0,35.0,700.0,,0.0,2.0,Maharashtra,1.0
37.0,6.0,632.0,,1.0,0.0,Karnataka,0.0
39.0,30.0,739.0,,0.0,6.0,Gujarat,1.0
4.0,16.0,705.0,19500.0,0.0,2.0,Maharashtra,1.0
43.0,32.0,686.0,29300.0,0.0,2.0,Karnataka,0.0
5.0,14.0,751.0,9000.0,0.0,2.0,Maharashtra,1.0
9.0,,,30000.0,0.0,1.0,Karnataka,1.0
14.0,,,44000.0,1.0,3.0,Telangana,1.0
0.0,4.0,724.0,30000.0,0.0,0.0,Tamil Nadu,0.0
0.0,16.0,703.0,21406.0,0.0,2.0,Karnataka,0.0
33.0,,,25000.0,0.0,3.0,Delhi,1.0
3.0,6.0,744.0,21000.0,0.0,3.0,Karnataka,0.0
0.0,32.0,724.0,25000.0,0.0,2.0,Bihar,0.0
0.0,9.0,724.0,16000.0,0.0,3.0,Telangana,0.0
0.0,11.0,717.0,22000.0,1.0,2.0,Maharashtra,0.0
0.0,22.0,731.0,13500.0,0.0,1.0,Maharashtra,0.0
0.0,23.0,763.0,39512.0,0.0,4.0,Delhi,0.0
0.0,18.0,715.0,18000.0,0.0,3.0,Tamil Nadu,0.0
2.0,,703.0,,0.0,1.0,Karnataka,1.0
,18.0,741.0,18000.0,0.0,2.0,Gujarat,0.0
2.0,22.0,731.0,50000.0,1.0,4.0,Karnataka,0.0
0.0,,,20000.0,0.0,2.0,Tamil Nadu,0.0
1.0,17.0,670.0,15500.0,0.0,3.0,Karnataka,1.0
12.0,13.0,743.0,20500.0,0.0,1.0,Tamil Nadu,1.0
15.0,20.0,744.0,23000.0,0.0,2.0,Maharashtra,1.0
0.0,4.0,759.0,17120.0,0.0,3.0,Tamil Nadu,1.0
13.0,15.0,706.0,39000.0,0.0,4.0,Tamil Nadu,1.0
0.0,12.0,733.0,16000.0,1.0,1.0,Delhi,0.0
0.0,5.0,713.0,25000.0,0.0,0.0,Telangana,0.0
0.0,28.0,746.0,20500.0,0.0,5.0,Karnataka,1.0
2.0,9.0,777.0,13700.0,0.0,1.0,Karnataka,1.0
1.0,11.0,734.0,12000.0,0.0,1.0,Punjab,0.0
1.0,,,14500.0,0.0,1.0,Maharashtra,1.0
1.0,,693.0,20000.0,0.0,2.0,Telangana,0.0
,38.0,737.0,17230.0,1.0,3.0,Telangana,0.0
,24.0,714.0,37500.0,0.0,,Karnataka,1.0
0.0,3.0,718.0,16000.0,0.0,1.0,Karnataka,0.0
1.0,,,,0.0,,Tamil Nadu,1.0
7.0,,,20000.0,0.0,1.0,Karnataka,1.0
0.0,17.0,746.0,15000.0,1.0,0.0,Karnataka,0.0
16.0,,757.0,15035.0,0.0,2.0,Karnataka,0.0
2.0,,732.0,30000.0,0.0,1.0,Telangana,0.0
31.0,13.0,747.0,22000.0,0.0,3.0,Maharashtra,0.0
6.0,,,12000.0,0.0,3.0,Rajasthan,1.0
0.0,11.0,698.0,18800.0,0.0,2.0,Telangana,0.0
99.0,19.0,726.0,40000.0,0.0,4.0,Telangana,1.0
0.0,,,13000.0,0.0,1.0,Karnataka,0.0
30.0,8.0,715.0,,0.0,2.0,Punjab,1.0
51.0,11.0,757.0,16100.0,0.0,4.0,Maharashtra,1.0
1.0,14.0,689.0,18000.0,1.0,4.0,Karnataka,0.0
3.0,13.0,769.0,,0.0,0.0,Orissa,1.0
11.0,27.0,747.0,24000.0,0.0,2.0,Maharashtra,1.0
1.0,,,13000.0,0.0,2.0,Delhi,0.0
0.0,15.0,725.0,28500.0,0.0,3.0,Telangana,0.0
0.0,13.0,729.0,18000.0,0.0,1.0,Tamil Nadu,0.0
1.0,,,46367.0,0.0,5.0,Telangana,0.0
0.0,13.0,758.0,34986.0,0.0,1.0,Karnataka,1.0
3.0,11.0,753.0,35000.0,0.0,2.0,Karnataka,1.0
0.0,23.0,676.0,39693.0,0.0,1.0,Karnataka,0.0
,66.0,717.0,37000.0,0.0,3.0,Delhi,1.0
3.0,10.0,761.0,38000.0,0.0,3.0,Delhi,0.0
101.0,24.0,640.0,24000.0,0.0,1.0,Maharashtra,1.0
1.0,10.0,748.0,12500.0,1.0,1.0,Maharashtra,0.0
8.0,,,16000.0,0.0,4.0,Maharashtra,1.0
0.0,,,20000.0,0.0,4.0,Maharashtra,1.0
0.0,24.0,714.0,,0.0,1.0,Delhi,0.0
9.0,10.0,522.0,,0.0,0.0,Punjab,1.0
9.0,,,,1.0,1.0,Rajasthan,0.0
0.0,,,17600.0,0.0,5.0,Telangana,0.0
0.0,8.0,750.0,23100.0,0.0,2.0,Andhra Pradesh,0.0
0.0,,,22900.0,0.0,4.0,Telangana,0.0
3.0,9.0,735.0,15000.0,0.0,5.0,Telangana,0.0
3.0,11.0,761.0,22000.0,1.0,2.0,Karnataka,0.0
3.0,8.0,734.0,,1.0,1.0,Tamil Nadu,0.0
6.0,,,64800.0,1.0,2.0,Karnataka,1.0
0.0,6.0,694.0,12000.0,0.0,3.0,Tamil Nadu,0.0
3.0,,738.0,26000.0,0.0,3.0,Karnataka,0.0
0.0,,723.0,20000.0,0.0,2.0,Karnataka,1.0
9.0,,,16720.0,0.0,1.0,Delhi,1.0
1.0,13.0,738.0,16761.0,1.0,2.0,Delhi,0.0
0.0,35.0,751.0,42000.0,0.0,5.0,Karnataka,1.0
28.0,,767.0,28000.0,0.0,2.0,Karnataka,0.0
0.0,24.0,744.0,40000.0,0.0,2.0,Rajasthan,1.0
0.0,8.0,756.0,22000.0,1.0,1.0,Maharashtra,0.0
6.0,,707.0,16000.0,0.0,0.0,Maharashtra,0.0
104.0,,,16500.0,0.0,1.0,Karnataka,1.0
1.0,4.0,673.0,26000.0,0.0,2.0,Karnataka,0.0
1.0,,,24000.0,1.0,2.0,Karnataka,1.0
0.0,16.0,712.0,15000.0,1.0,0.0,Uttar Pradesh,0.0
6.0,,654.0,24000.0,0.0,3.0,Karnataka,1.0
0.0,14.0,747.0,21700.0,0.0,1.0,Karnataka,0.0
1.0,8.0,748.0,21000.0,0.0,1.0,Tamil Nadu,1.0
2.0,,,23000.0,1.0,2.0,Karnataka,1.0
0.0,9.0,727.0,24000.0,1.0,2.0,Telangana,1.0
7.0,19.0,639.0,14700.0,1.0,2.0,Karnataka,0.0
2.0,11.0,752.0,25000.0,0.0,1.0,Telangana,1.0
0.0,,664.0,24000.0,1.0,7.0,Maharashtra,0.0
5.0,,746.0,,0.0,2.0,Rajasthan,0.0
3.0,,,,0.0,5.0,Rajasthan,0.0
0.0,9.0,668.0,35000.0,0.0,3.0,Karnataka,0.0
11.0,12.0,773.0,20000.0,0.0,1.0,Karnataka,1.0
1.0,22.0,774.0,26700.0,0.0,4.0,Maharashtra,0.0
0.0,,,36000.0,0.0,6.0,Haryana,0.0
12.0,7.0,763.0,,0.0,3.0,Telangana,0.0
3.0,22.0,749.0,38200.0,0.0,3.0,Telangana,1.0
29.0,,,58800.0,0.0,4.0,Gujarat,1.0
0.0,,,25000.0,1.0,2.0,Karnataka,0.0
5.0,21.0,766.0,25000.0,0.0,1.0,Rajasthan,1.0
0.0,17.0,743.0,15000.0,0.0,6.0,Uttar Pradesh,1.0
5.0,10.0,709.0,18250.0,0.0,1.0,Maharashtra,0.0
3.0,13.0,700.0,25000.0,1.0,2.0,Telangana,0.0
25.0,4.0,744.0,20000.0,0.0,1.0,Karnataka,0.0
14.0,13.0,695.0,37000.0,0.0,0.0,Karnataka,0.0
8.0,7.0,734.0,20000.0,0.0,1.0,Delhi,1.0
0.0,9.0,676.0,22790.0,1.0,2.0,Karnataka,0.0
0.0,4.0,734.0,17000.0,0.0,3.0,Telangana,0.0
0.0,,,23000.0,0.0,2.0,Telangana,1.0
6.0,19.0,734.0,12000.0,0.0,2.0,Gujarat,0.0
58.0,14.0,710.0,21000.0,1.0,0.0,West Bengal,1.0
1.0,4.0,775.0,59000.0,1.0,0.0,Uttar Pradesh,0.0
0.0,,,13000.0,0.0,1.0,Karnataka,0.0
0.0,,,30000.0,0.0,4.0,Punjab,0.0
128.0,13.0,734.0,,0.0,3.0,Telangana,1.0
0.0,,,20000.0,0.0,1.0,Maharashtra,1.0
3.0,24.0,738.0,13950.0,0.0,2.0,Gujarat,0.0
2.0,11.0,767.0,29000.0,1.0,4.0,Maharashtra,0.0
0.0,10.0,772.0,15500.0,0.0,1.0,Telangana,0.0
0.0,,,,1.0,4.0,Maharashtra,1.0
1.0,,3.0,45050.0,0.0,3.0,Tripura,0.0
0.0,18.0,670.0,22000.0,1.0,5.0,Maharashtra,1.0
0.0,10.0,718.0,20000.0,0.0,0.0,Tamil Nadu,0.0
0.0,,,25150.0,1.0,2.0,Maharashtra,1.0
0.0,3.0,708.0,25000.0,0.0,0.0,Andhra Pradesh,0.0
60.0,,,26500.0,0.0,2.0,Karnataka,1.0
,6.0,755.0,26000.0,0.0,2.0,Karnataka,0.0
0.0,5.0,715.0,24000.0,1.0,1.0,Karnataka,0.0
0.0,11.0,746.0,14265.0,0.0,2.0,Telangana,0.0
9.0,25.0,724.0,20000.0,0.0,2.0,Delhi,0.0
0.0,,,18100.0,1.0,1.0,West Bengal,0.0
1.0,27.0,734.0,20600.0,0.0,0.0,Telangana,0.0
1.0,,,25000.0,0.0,5.0,Tamil Nadu,1.0
0.0,,,21000.0,0.0,3.0,Maharashtra,0.0
4.0,19.0,734.0,62320.0,0.0,3.0,Tamil Nadu,1.0
2.0,,,18000.0,0.0,0.0,Uttar Pradesh,1.0
0.0,3.0,716.0,13800.0,0.0,1.0,Delhi,0.0
14.0,,,18000.0,1.0,4.0,Maharashtra,1.0
5.0,22.0,735.0,15000.0,0.0,2.0,Karnataka,0.0
2.0,3.0,714.0,25000.0,0.0,1.0,Maharashtra,1.0
2.0,22.0,762.0,33300.0,0.0,4.0,Delhi,0.0
19.0,6.0,708.0,42000.0,0.0,4.0,Karnataka,0.0
0.0,17.0,696.0,27000.0,1.0,2.0,Maharashtra,0.0
0.0,32.0,738.0,25000.0,0.0,3.0,Karnataka,1.0
0.0,,734.0,21000.0,0.0,2.0,Maharashtra,0.0
1.0,4.0,729.0,15000.0,0.0,0.0,Andhra Pradesh,0.0
0.0,12.0,761.0,,0.0,2.0,Gujarat,1.0
1.0,20.0,702.0,37500.0,0.0,2.0,Orissa,1.0
0.0,,,18000.0,0.0,0.0,Maharashtra,0.0
59.0,,,34160.0,0.0,6.0,Gujarat,0.0
0.0,10.0,724.0,36500.0,0.0,2.0,Telangana,0.0
8.0,14.0,703.0,15000.0,0.0,3.0,Karnataka,0.0
1.0,4.0,757.0,15000.0,0.0,3.0,Telangana,0.0
65.0,12.0,640.0,,0.0,,Tamil Nadu,1.0
1.0,,718.0,,0.0,1.0,Maharashtra,1.0
0.0,22.0,694.0,,0.0,3.0,Tamil Nadu,0.0
1.0,,,37200.0,0.0,3.0,Tamil Nadu,0.0
0.0,8.0,742.0,95000.0,0.0,0.0,Karnataka,0.0
12.0,,,24808.0,0.0,7.0,West Bengal,1.0
0.0,7.0,746.0,25000.0,0.0,3.0,Karnataka,0.0
0.0,,,21000.0,0.0,2.0,Karnataka,1.0
6.0,,,25000.0,0.0,2.0,Karnataka,0.0
1.0,7.0,770.0,34000.0,0.0,4.0,Delhi,0.0
1.0,15.0,711.0,17000.0,0.0,2.0,Karnataka,0.0
8.0,19.0,744.0,23000.0,0.0,2.0,Karnataka,1.0
0.0,8.0,748.0,22000.0,0.0,1.0,Karnataka,0.0
1.0,4.0,,23687.0,0.0,1.0,Telangana,0.0
0.0,11.0,718.0,39000.0,0.0,1.0,Maharashtra,1.0
10.0,19.0,716.0,30000.0,0.0,3.0,Haryana,0.0
0.0,5.0,762.0,15500.0,0.0,1.0,Madhya Pradesh,0.0
2.0,9.0,713.0,20000.0,0.0,2.0,Tamil Nadu,0.0
,25.0,694.0,39800.0,0.0,,Andhra Pradesh,0.0
0.0,15.0,720.0,22000.0,0.0,1.0,Haryana,0.0
0.0,11.0,766.0,14000.0,0.0,2.0,Maharashtra,0.0
3.0,,,19300.0,0.0,2.0,Karnataka,1.0
29.0,12.0,701.0,16872.0,0.0,9.0,Karnataka,0.0
19.0,8.0,754.0,16000.0,0.0,2.0,Karnataka,0.0
9.0,28.0,680.0,16388.0,0.0,5.0,Delhi,1.0
4.0,19.0,754.0,27000.0,0.0,2.0,Delhi,0.0
0.0,4.0,737.0,16488.0,0.0,1.0,Maharashtra,0.0
11.0,,694.0,,0.0,2.0,Maharashtra,0.0
0.0,14.0,757.0,,0.0,3.0,Delhi,0.0
2.0,9.0,737.0,16000.0,0.0,2.0,Delhi,0.0
4.0,,,,1.0,1.0,Tamil Nadu,0.0
5.0,,,61000.0,0.0,2.0,Delhi,0.0
0.0,6.0,604.0,18000.0,1.0,2.0,Rajasthan,0.0
5.0,,,21554.0,0.0,1.0,Telangana,1.0
0.0,16.0,706.0,15715.0,0.0,2.0,Telangana,0.0
2.0,,,,0.0,7.0,Maharashtra,1.0
1.0,20.0,746.0,13500.0,0.0,6.0,Karnataka,0.0
0.0,25.0,681.0,34000.0,0.0,3.0,Karnataka,0.0
5.0,14.0,747.0,47000.0,1.0,4.0,Karnataka,0.0
9.0,,1.0,,0.0,3.0,Telangana,1.0
1.0,,,19651.0,0.0,3.0,Telangana,0.0
51.0,13.0,709.0,16000.0,0.0,1.0,Karnataka,0.0
0.0,,742.0,19000.0,0.0,1.0,Karnataka,0.0
0.0,6.0,713.0,15000.0,0.0,2.0,Telangana,0.0
0.0,5.0,727.0,26000.0,0.0,2.0,Gujarat,0.0
1.0,3.0,666.0,20000.0,0.0,0.0,Maharashtra,0.0
0.0,9.0,740.0,,0.0,3.0,Tamil Nadu,0.0
34.0,15.0,771.0,25000.0,1.0,1.0,Maharashtra,0.0
0.0,,694.0,13500.0,0.0,2.0,Karnataka,0.0
4.0,14.0,650.0,39633.0,0.0,0.0,Karnataka,1.0
0.0,,,14855.0,0.0,1.0,Telangana,0.0
0.0,11.0,721.0,21000.0,0.0,3.0,Tamil Nadu,0.0
0.0,,,20000.0,0.0,1.0,Karnataka,1.0
0.0,6.0,765.0,29000.0,1.0,1.0,Karnataka,0.0
1.0,38.0,741.0,56768.0,0.0,1.0,Telangana,0.0
28.0,13.0,684.0,21050.0,0.0,3.0,Karnataka,1.0
5.0,12.0,691.0,37400.0,0.0,3.0,Maharashtra,0.0
0.0,,,16000.0,0.0,1.0,Maharashtra,1.0
9.0,8.0,651.0,20000.0,0.0,1.0,Tamil Nadu,0.0
1.0,9.0,724.0,15219.0,0.0,2.0,Telangana,0.0
0.0,22.0,701.0,21300.0,0.0,1.0,Delhi,0.0
0.0,16.0,744.0,19376.0,0.0,4.0,Haryana,0.0
0.0,12.0,722.0,18000.0,0.0,2.0,Karnataka,0.0
0.0,7.0,724.0,10000.0,1.0,1.0,Telangana,0.0
0.0,1.0,721.0,20680.0,1.0,1.0,Telangana,0.0
1.0,10.0,692.0,16500.0,0.0,3.0,Tamil Nadu,0.0
1.0,16.0,760.0,,0.0,2.0,Gujarat,0.0
1.0,5.0,745.0,10000.0,0.0,3.0,Maharashtra,0.0
3.0,17.0,736.0,15000.0,0.0,0.0,Maharashtra,0.0
3.0,12.0,734.0,21800.0,0.0,2.0,Maharashtra,0.0
7.0,14.0,743.0,45000.0,0.0,9.0,Gujarat,0.0
5.0,,,23400.0,1.0,8.0,Tamil Nadu,0.0
24.0,23.0,734.0,15000.0,0.0,3.0,Karnataka,0.0
6.0,16.0,657.0,20000.0,0.0,1.0,Karnataka,0.0
1.0,26.0,729.0,20000.0,0.0,4.0,Maharashtra,0.0
14.0,8.0,746.0,,1.0,4.0,Rajasthan,1.0
0.0,18.0,718.0,180000.0,0.0,2.0,Tamil Nadu,0.0
8.0,24.0,727.0,33566.0,1.0,4.0,Maharashtra,0.0
0.0,43.0,719.0,,0.0,1.0,Maharashtra,0.0
5.0,8.0,703.0,16683.0,0.0,3.0,Andhra Pradesh,1.0
1.0,14.0,747.0,,0.0,0.0,Karnataka,0.0
0.0,9.0,726.0,24753.0,0.0,3.0,Uttaranchal,1.0
3.0,,,47500.0,0.0,3.0,Maharashtra,1.0
3.0,12.0,731.0,,0.0,3.0,Tamil Nadu,0.0
0.0,,,,1.0,4.0,Telangana,0.0
6.0,6.0,714.0,,0.0,1.0,Maharashtra,0.0
8.0,14.0,672.0,20000.0,0.0,1.0,Karnataka,0.0
0.0,17.0,745.0,35000.0,0.0,2.0,Maharashtra,1.0
0.0,24.0,747.0,15857.0,0.0,4.0,Uttar Pradesh,1.0
4.0,,,14232.0,1.0,2.0,Maharashtra,0.0
1.0,4.0,746.0,34375.0,0.0,0.0,Karnataka,0.0
20.0,25.0,695.0,25533.0,0.0,1.0,Telangana,0.0
0.0,3.0,755.0,25100.0,1.0,2.0,Karnataka,1.0
1.0,17.0,741.0,38000.0,0.0,0.0,Karnataka,1.0
1.0,3.0,730.0,13000.0,0.0,2.0,Karnataka,0.0
3.0,15.0,755.0,27000.0,0.0,3.0,Karnataka,0.0
0.0,3.0,728.0,15000.0,0.0,3.0,Rajasthan,0.0
23.0,16.0,691.0,15000.0,0.0,2.0,Karnataka,0.0
8.0,24.0,654.0,,0.0,1.0,Karnataka,1.0
7.0,20.0,707.0,22000.0,0.0,2.0,Karnataka,1.0
1.0,11.0,760.0,,0.0,3.0,Maharashtra,0.0
1.0,4.0,753.0,,0.0,0.0,Telangana,0.0
0.0,6.0,752.0,12000.0,0.0,1.0,Maharashtra,1.0
0.0,,,11000.0,0.0,1.0,Maharashtra,0.0
0.0,,683.0,13529.0,0.0,2.0,Karnataka,0.0
0.0,29.0,680.0,30250.0,0.0,0.0,Maharashtra,0.0
0.0,31.0,715.0,20000.0,1.0,2.0,Karnataka,0.0
2.0,12.0,721.0,,0.0,2.0,Andhra Pradesh,0.0
1.0,,,23100.0,0.0,0.0,Andhra Pradesh,0.0
14.0,11.0,739.0,17000.0,1.0,1.0,Maharashtra,1.0
0.0,23.0,765.0,34692.0,0.0,2.0,Uttar Pradesh,0.0
0.0,,745.0,18500.0,0.0,2.0,Tamil Nadu,0.0
0.0,17.0,711.0,22000.0,0.0,2.0,Rajasthan,0.0
0.0,4.0,734.0,25000.0,0.0,3.0,Delhi,0.0
7.0,7.0,756.0,59925.0,0.0,2.0,Uttar Pradesh,0.0
0.0,,693.0,23000.0,0.0,2.0,Karnataka,0.0
2.0,15.0,747.0,20000.0,0.0,5.0,Delhi,1.0
0.0,,,18949.69,0.0,5.0,Maharashtra,0.0
0.0,,682.0,15000.0,0.0,1.0,Karnataka,1.0
1.0,,,70000.0,0.0,9.0,Karnataka,0.0
3.0,,,20000.0,0.0,3.0,Tamil Nadu,0.0
0.0,,,,1.0,1.0,Telangana,0.0
0.0,1.0,745.0,15000.0,0.0,0.0,Maharashtra,0.0
21.0,19.0,720.0,26204.0,0.0,0.0,Gujarat,1.0
0.0,13.0,759.0,13000.0,0.0,2.0,Karnataka,0.0
0.0,12.0,732.0,14288.0,0.0,2.0,Karnataka,0.0
2.0,3.0,705.0,17000.0,0.0,2.0,Karnataka,0.0
0.0,,,25000.0,0.0,1.0,Telangana,1.0
0.0,,,19000.0,0.0,3.0,Karnataka,0.0
0.0,,553.0,35000.0,0.0,4.0,Gujarat,1.0
5.0,13.0,719.0,,0.0,7.0,Haryana,1.0
0.0,,720.0,,0.0,,Andhra Pradesh,0.0
16.0,12.0,710.0,22000.0,0.0,3.0,Maharashtra,1.0
1.0,19.0,761.0,22000.0,0.0,0.0,Telangana,1.0
2.0,11.0,764.0,20000.0,0.0,2.0,Tamil Nadu,0.0
3.0,19.0,734.0,15000.0,0.0,0.0,Delhi,0.0
17.0,18.0,751.0,24502.0,0.0,3.0,Tamil Nadu,0.0
5.0,8.0,776.0,22500.0,0.0,1.0,Tamil Nadu,0.0
0.0,12.0,715.0,18000.0,0.0,2.0,Maharashtra,1.0
0.0,2.0,699.0,19000.0,1.0,2.0,Tamil Nadu,1.0
0.0,5.0,726.0,,1.0,2.0,Telangana,0.0
9.0,,,58000.0,0.0,2.0,Karnataka,1.0
62.0,13.0,646.0,29800.0,0.0,2.0,Karnataka,0.0
0.0,11.0,697.0,29000.0,0.0,2.0,Delhi,1.0
0.0,4.0,744.0,,0.0,0.0,Maharashtra,0.0
16.0,10.0,709.0,15000.0,1.0,2.0,Karnataka,0.0
8.0,,,25176.0,1.0,5.0,Maharashtra,0.0
0.0,,,10000.0,1.0,2.0,Karnataka,0.0
32.0,,,39800.0,0.0,3.0,Tamil Nadu,0.0
9.0,28.0,654.0,20000.0,0.0,2.0,Tamil Nadu,1.0
44.0,7.0,582.0,14000.0,0.0,5.0,Karnataka,1.0
0.0,7.0,746.0,21000.0,0.0,3.0,Tamil Nadu,0.0
0.0,13.0,689.0,,0.0,0.0,Tamil Nadu,1.0
1.0,10.0,729.0,15200.0,0.0,1.0,Maharashtra,1.0
0.0,,,25000.0,0.0,3.0,Telangana,0.0
,13.0,746.0,20000.0,0.0,,Kerala,0.0
2.0,25.0,717.0,20100.0,0.0,2.0,Delhi,1.0
