number_of_missed_payments,number_of_bank_visits,score,income,use_online_streaming,number_of_bank_accounts,state,bad_customer
0.0,13.0,743.0,45000.0,0.0,4.0,Karnataka,0.0
1.0,16.0,753.0,,1.0,1.0,Tamil Nadu,0.0
1.0,,,25000.0,0.0,0.0,Karnataka,0.0
14.0,,,38000.0,1.0,1.0,Karnataka,1.0
2.0,15.0,735.0,35200.0,0.0,5.0,Haryana,0.0
10.0,,,45000.0,0.0,5.0,Delhi,0.0
0.0,16.0,715.0,14500.0,0.0,2.0,Tamil Nadu,1.0
2.0,,,21670.0,0.0,3.0,Karnataka,0.0
1.0,13.0,744.0,16300.0,0.0,4.0,Andhra Pradesh,0.0
53.0,12.0,629.0,,0.0,6.0,Andhra Pradesh,0.0
0.0,10.0,694.0,13000.0,0.0,2.0,Karnataka,0.0
0.0,24.0,694.0,18011.0,0.0,0.0,Uttar Pradesh,1.0
1.0,6.0,746.0,15009.0,0.0,1.0,Karnataka,0.0
3.0,15.0,689.0,38800.0,0.0,2.0,Tamil Nadu,0.0
0.0,,705.0,10300.0,0.0,0.0,Karnataka,1.0
0.0,3.0,694.0,16000.0,0.0,2.0,Karnataka,0.0
12.0,15.0,689.0,16400.0,0.0,5.0,Maharashtra,1.0
191.0,48.0,662.0,31000.0,0.0,4.0,Karnataka,1.0
,19.0,721.0,30000.0,0.0,,Karnataka,0.0
0.0,5.0,734.0,18004.06,0.0,0.0,Delhi,0.0
0.0,27.0,724.0,20000.0,0.0,3.0,Delhi,0.0
2.0,11.0,722.0,25000.0,0.0,3.0,Rajasthan,0.0
0.0,,,7611.88,1.0,3.0,Maharashtra,0.0
4.0,,710.0,17840.0,0.0,1.0,Karnataka,1.0
4.0,,,,0.0,1.0,Andhra Pradesh,0.0
29.0,14.0,721.0,25000.0,0.0,3.0,Tamil Nadu,1.0
0.0,3.0,681.0,35000.0,0.0,1.0,Telangana,0.0
4.0,8.0,715.0,52000.0,0.0,1.0,Telangana,1.0
0.0,18.0,734.0,18500.0,0.0,1.0,Maharashtra,0.0
0.0,6.0,754.0,30000.0,0.0,1.0,Karnataka,0.0
1.0,7.0,715.0,17300.0,0.0,2.0,Karnataka,0.0
8.0,30.0,716.0,29600.0,0.0,7.0,Tamil Nadu,0.0
0.0,11.0,745.0,18000.0,0.0,4.0,Karnataka,0.0
0.0,9.0,701.0,17200.0,0.0,2.0,Gujarat,0.0
0.0,5.0,757.0,18000.0,0.0,1.0,Tamil Nadu,0.0
0.0,7.0,765.0,17000.0,0.0,0.0,Karnataka,0.0
3.0,2.0,752.0,18000.0,0.0,2.0,Tamil Nadu,0.0
0.0,13.0,715.0,24000.0,0.0,2.0,Karnataka,1.0
0.0,,,20000.0,0.0,5.0,Karnataka,0.0
0.0,7.0,750.0,30000.0,1.0,5.0,Telangana,1.0
2.0,11.0,680.0,14000.0,1.0,1.0,Karnataka,1.0
12.0,18.0,764.0,23067.0,0.0,,Jharkhand,0.0
0.0,,710.0,20000.0,0.0,1.0,Karnataka,0.0
0.0,27.0,654.0,,1.0,6.0,Delhi,0.0
30.0,27.0,707.0,117000.0,1.0,5.0,Karnataka,1.0
3.0,14.0,734.0,,0.0,0.0,Rajasthan,1.0
7.0,,,15000.0,0.0,5.0,Delhi,0.0
13.0,16.0,741.0,17785.0,1.0,3.0,Maharashtra,1.0
10.0,12.0,731.0,36000.0,0.0,1.0,Telangana,0.0
6.0,24.0,734.0,,1.0,2.0,Maharashtra,1.0
6.0,12.0,747.0,17800.0,0.0,0.0,Telangana,0.0
15.0,12.0,681.0,,1.0,2.0,Telangana,0.0
2.0,17.0,746.0,30000.0,0.0,4.0,Karnataka,1.0
47.0,8.0,753.0,60000.0,0.0,5.0,Telangana,0.0
0.0,,,16600.0,0.0,3.0,Tamil Nadu,0.0
0.0,18.0,715.0,37200.0,0.0,1.0,Maharashtra,0.0
55.0,12.0,743.0,35000.0,0.0,2.0,Delhi,0.0
1.0,,,22000.0,0.0,1.0,Maharashtra,0.0
0.0,15.0,704.0,20000.0,1.0,3.0,Rajasthan,1.0
0.0,,,20000.0,0.0,1.0,Maharashtra,0.0
0.0,,,30000.0,0.0,3.0,Karnataka,0.0
0.0,5.0,662.0,16300.0,0.0,1.0,Gujarat,1.0
0.0,,682.0,42800.0,0.0,2.0,Karnataka,0.0
0.0,10.0,746.0,,1.0,1.0,Madhya Pradesh,0.0
1.0,,,18000.0,0.0,1.0,Madhya Pradesh,0.0
0.0,20.0,689.0,25000.0,0.0,0.0,Karnataka,0.0
,25.0,760.0,22000.0,0.0,,Andhra Pradesh,0.0
0.0,6.0,732.0,13000.0,0.0,2.0,Karnataka,0.0
1.0,12.0,720.0,15000.0,0.0,0.0,Tamil Nadu,0.0
0.0,2.0,744.0,20000.0,1.0,2.0,Telangana,0.0
0.0,,710.0,16283.0,0.0,1.0,Andhra Pradesh,1.0
4.0,4.0,762.0,14500.0,0.0,1.0,Karnataka,0.0
14.0,10.0,695.0,,0.0,1.0,Maharashtra,0.0
11.0,,,,0.0,1.0,Pondicherry,0.0
0.0,2.0,711.0,10000.0,0.0,2.0,Telangana,0.0
12.0,16.0,748.0,,0.0,2.0,Uttaranchal,0.0
3.0,,,70000.0,1.0,0.0,Delhi,0.0
0.0,,,21725.0,0.0,1.0,Maharashtra,0.0
0.0,9.0,721.0,22600.0,0.0,2.0,Karnataka,0.0
0.0,16.0,746.0,,0.0,3.0,Karnataka,0.0
0.0,,,18000.0,0.0,5.0,Telangana,0.0
0.0,16.0,749.0,30739.0,0.0,3.0,Andhra Pradesh,0.0
0.0,12.0,700.0,18500.0,0.0,1.0,Tamil Nadu,0.0
3.0,21.0,756.0,30000.0,0.0,3.0,Maharashtra,1.0
1.0,,650.0,50700.0,0.0,4.0,Maharashtra,0.0
17.0,17.0,736.0,18249.0,1.0,2.0,Telangana,1.0
2.0,9.0,754.0,35000.0,0.0,0.0,Karnataka,0.0
0.0,12.0,740.0,32000.0,0.0,2.0,Telangana,0.0
5.0,15.0,690.0,17000.0,0.0,5.0,Delhi,0.0
0.0,9.0,628.0,15000.0,0.0,0.0,Maharashtra,1.0
0.0,10.0,684.0,11500.0,0.0,6.0,Karnataka,1.0
0.0,,,20500.0,0.0,4.0,Karnataka,1.0
0.0,23.0,695.0,36200.0,0.0,3.0,Karnataka,0.0
10.0,,,21600.0,0.0,1.0,Karnataka,0.0
0.0,13.0,760.0,,0.0,1.0,Andhra Pradesh,1.0
0.0,13.0,724.0,36950.0,0.0,3.0,Telangana,0.0
3.0,,,17050.0,0.0,4.0,Delhi,1.0
15.0,11.0,743.0,21200.0,1.0,2.0,Maharashtra,0.0
18.0,,,25000.0,0.0,2.0,Telangana,1.0
14.0,9.0,729.0,26000.0,1.0,1.0,Karnataka,0.0
7.0,,,21000.0,0.0,1.0,Karnataka,0.0
1.0,,,25000.0,0.0,1.0,Tamil Nadu,0.0
0.0,,679.0,15300.0,1.0,2.0,Maharashtra,0.0
14.0,34.0,621.0,61000.0,1.0,7.0,Maharashtra,0.0
0.0,12.0,734.0,20729.0,0.0,1.0,Tamil Nadu,0.0
0.0,,,8000.0,1.0,1.0,Andhra Pradesh,1.0
7.0,25.0,738.0,45000.0,0.0,4.0,West Bengal,0.0
0.0,,745.0,16216.0,0.0,3.0,Gujarat,0.0
5.0,,,43800.0,0.0,13.0,Gujarat,0.0
10.0,,697.0,30000.0,0.0,2.0,Tamil Nadu,0.0
1.0,6.0,760.0,,0.0,1.0,Uttar Pradesh,0.0
